period,timestep,profile_name,value
4,8,elec,0.3716506910984349
4,8,solar,0.2198407563451041
4,8,transport_truck_bus_van_car_rail_aviation_maritime,0.5564169980405822
4,8,wind,0.1902146773065561
4,9,DHW_or_space,0.3858927810317389
4,9,RoR,0.515033180805443
4,9,cool,0.4718883698474675
4,9,elec,0.2895239375228299
4,9,solar,0.3270135917754287
4,9,transport_truck_bus_van_car_rail_aviation_maritime,0.5118474384572483
4,9,wind,0.1670796869262752
4,10,DHW_or_space,0.3678131213911219
4,10,RoR,0.515033180805443
4,10,cool,0.5605850518461696
4,10,elec,0.3243261414391088
4,10,solar,0.4103720448017671
4,10,transport_truck_bus_van_car_rail_aviation_maritime,0.5635709284215868
4,10,wind,0.1510993966586406
4,11,DHW_or_space,0.3704806121577703
4,11,RoR,0.515033180805443
4,11,cool,0.62264605885018
4,11,elec,0.3421158775258691
4,11,solar,0.4625395513731598
4,11,transport_truck_bus_van_car_rail_aviation_maritime,0.5504195728215484
4,11,wind,0.1312302264983295
4,12,DHW_or_space,0.3576577574756265
4,12,RoR,0.515033180805443
4,12,cool,0.6608239288966151
4,12,elec,0.2380620023038643
4,12,solar,0.495527700763386
4,12,transport_truck_bus_van_car_rail_aviation_maritime,0.5412200105187991
4,12,wind,0.1308026088462108
4,13,DHW_or_space,0.2983106945947075
4,13,RoR,0.515033180805443
4,13,cool,0.6978601465687437
4,13,elec,0.2435858066381395
4,13,solar,0.5206462848231493
4,13,transport_truck_bus_van_car_rail_aviation_maritime,0.522283057830078
4,13,wind,0.1313060022866987
4,14,DHW_or_space,0.2458510969864715
4,14,RoR,0.515033180805443
4,14,cool,0.7264434185820348
4,14,elec,0.2800836719388858
4,14,solar,0.5290522450183416
4,14,transport_truck_bus_van_car_rail_aviation_maritime,0.5645485518059209
4,14,wind,0.1313343832605124
4,15,DHW_or_space,0.2449619333975887
4,15,RoR,0.515033180805443
4,15,cool,0.6947099098058939
4,15,elec,0.3269779960551438
4,15,solar,0.4611788765568728
4,15,transport_truck_bus_van_car_rail_aviation_maritime,0.5621894029047603
4,15,wind,0.1278055193285005
4,16,DHW_or_space,0.2590398298203085
4,16,RoR,0.515033180805443
