period,rep_period,weight
160,3,0.18982945706918095
160,4,0.23307132201776284
160,5,0.3323556065518562
161,1,0.08244901926789833
161,3,0.6780295126997419
161,4,0.2088723384852417
161,5,0.03064912954711821
162,3,0.6493833098601091
162,4,0.09725842514068259
162,5,0.2533582649992084
163,3,0.8492529586166053
163,4,0.09608057999189856
163,5,0.05466646139149606
164,3,0.7501791089541165
164,4,0.24982089104588348
165,3,0.624549952728009
165,4,0.37545004727199116
166,3,0.6156014344438498
166,4,0.38439856555615015
167,3,0.8042207296637994
167,4,0.19577927033620063
168,3,0.6853243350067763
168,4,0.23140214445308674
168,5,0.08327352054013704
169,3,0.22386438753669774
169,4,0.6229596143226864
169,5,0.15317599814061578
170,3,0.44631375850575755
170,4,0.2174717064129203
170,5,0.3362145350813222
171,3,0.6862293248688521
171,4,0.20411479808216168
171,5,0.10965587704898615
172,3,0.8683407546278794
172,4,0.10515021097672407
172,5,0.026509034395396563
173,3,0.6874348926856384
173,4,0.31256510731436166
174,3,0.6020909240552663
174,4,0.2780453721803806
174,5,0.11986370376435314
175,3,0.27117523394820403
175,4,0.3600184117784947
175,5,0.36880635427330144
176,4,0.7675092300317267
176,5,0.23249076996827336
177,4,0.9663997458844454
177,5,0.03360025411555453
178,4,1.0
179,4,1.0
180,3,0.05439760438417764
180,4,0.9456023956158224
181,2,0.01275508797536157
181,4,0.9872449120246385
182,4,1.0
183,4,1.0
184,4,0.9383351592247905
184,5,0.06166484077520946
185,2,0.020599962683636897
185,4,0.9794000373163632
186,2,0.0462663723841442
186,4,0.9537336276158559
187,4,0.6937614457273015
187,5,0.3062385542726986
188,4,0.5627989854399057
188,5,0.43720101456009436
189,3,0.29291721645969054
189,4,0.27199966332873965
189,5,0.4350831202115699
190,1,0.05062347853954526
190,3,0.4445161601510199
190,4,0.20969606825004244
190,5,0.29516429305939246
191,1,0.07612297445788975
191,3,0.12273547090929572
191,4,0.25528326891009556
191,5,0.545858285722719
192,1,0.19935389761772504
192,3,0.4509747727347949
192,4,0.20129066065627
192,5,0.14838066899121008
193,3,0.3865915384559105
193,4,0.21885371922986432
193,5,0.39455474231422527
194,1,0.1545722802686048
194,3,0.16830854505619103
194,4,0.6771191746752042
195,1,0.04779705661891956
195,2,0.15411032328122573
195,3,0.05609019154814236
195,4,0.7420024285517124
196,2,0.048415363461239896
196,4,0.536590064154639
196,5,0.41499457238412113
197,2,0.17842316025663824
197,4,0.7908867861474344
197,5,0.030690053595927465
198,4,0.4880817111999075
198,5,0.5119182888000925
199,4,0.29577687604619995
