,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
170,food-beverages-tobacco-production-reference_NLC8,0.17,0.17,10000000.0,food-beverages-tobacco,wy_2009,NLC8,food-beverages-tobacco-production-reference
171,other-chemicals-production-reference_NLC5,0.0,0.0,10000000.0,,wy_2009,NLC5,other-chemicals-production-reference
172,printing-and-media-production-reference_BEC5,0.02,0.02,10000000.0,printing-and-media,wy_2009,BEC5,printing-and-media-production-reference
173,(NG)PEA_BEC1,1.62,1.62,1.62,chemicals,wy_2009,BEC1,(NG)PEA
174,other-industrial-sectors_production-reference_NLC1,0.08,0.08,10000000.0,,wy_2009,NLC1,other-industrial-sectors_production-reference
175,ceramics-and-other-non-metalic-minerals-production-reference_NLC9,0.07,0.07,10000000.0,,wy_2009,NLC9,ceramics-and-other-non-metalic-minerals-production-reference
176,pharmaceuticals-production-reference_NLC3,0.0,0.0,10000000.0,pharmaceuticals,wy_2009,NLC3,pharmaceuticals-production-reference
177,wood-and-wood-products_production-reference_NLC3,0.01,0.01,10000000.0,wood,wy_2009,NLC3,wood-and-wood-products_production-reference
178,(NG)PEA_NLC7,0.16,0.16,0.16,chemicals,wy_2009,NLC7,(NG)PEA
179,EU-mix-2018_BEC6,0.18,0.18,0.18,cement,wy_2009,BEC6,EU-mix-2018
180,machinery-equipment-production-reference_NLC1,0.05,0.05,10000000.0,machinery-equipment,wy_2009,NLC1,machinery-equipment-production-reference
181,transport-equipment-production-reference_NLC5,0.0,0.0,10000000.0,transport-equipment,wy_2009,NLC5,transport-equipment-production-reference
182,food-beverages-tobacco-production-reference_NLC1,0.26,0.26,10000000.0,food-beverages-tobacco,wy_2009,NLC1,food-beverages-tobacco-production-reference
183,machinery-equipment-production-reference_NLC8,0.06,0.06,10000000.0,machinery-equipment,wy_2009,NLC8,machinery-equipment-production-reference
184,machinery-equipment-production-reference_NLC4,0.03,0.03,10000000.0,machinery-equipment,wy_2009,NLC4,machinery-equipment-production-reference
185,pulp-production-reference_NLC9,0.0,0.0,10000000.0,pulp,wy_2009,NLC9,pulp-production-reference
186,aluminium-primary-production-reference_NLC1,0.0,0.0,10000000.0,aluminium,wy_2009,NLC1,aluminium-primary-production-reference
187,machinery-equipment-production-reference_NLC9,0.03,0.03,10000000.0,machinery-equipment,wy_2009,NLC9,machinery-equipment-production-reference
188,(NG)NH3_NLC9,0.12,0.12,0.12,ammonia,wy_2009,NLC9,(NG)NH3
189,wood-and-wood-products_production-reference_NLC9,0.0,0.0,10000000.0,wood,wy_2009,NLC9,wood-and-wood-products_production-reference
190,EU-mix-2018_BEC7,0.46,0.46,0.08,cement,wy_2009,BEC7,EU-mix-2018
191,leather-and-textile-production-reference_NLC5,0.0,0.0,10000000.0,leather-and-textile,wy_2009,NLC5,leather-and-textile-production-reference
192,(NG)_gco_BEC3,0.01,0.01,0.01,glass,wy_2009,BEC3,(NG)_gco
193,transport-equipment-production-reference_BEC3,0.0,0.0,10000000.0,transport-equipment,wy_2009,BEC3,transport-equipment-production-reference
194,printing-and-media-production-reference_BEC4,0.01,0.01,10000000.0,printing-and-media,wy_2009,BEC4,printing-and-media-production-reference
195,wood-and-wood-products_production-reference_NLC6,0.01,0.01,10000000.0,wood,wy_2009,NLC6,wood-and-wood-products_production-reference
196,pharmaceuticals-production-reference_NLC2,0.0,0.0,10000000.0,pharmaceuticals,wy_2009,NLC2,pharmaceuticals-production-reference
197,leather-and-textile-production-reference_NLC8,0.01,0.01,10000000.0,leather-and-textile,wy_2009,NLC8,leather-and-textile-production-reference
198,ceramics-and-other-non-metalic-minerals-production-reference_NLC8,0.1,0.1,10000000.0,,wy_2009,NLC8,ceramics-and-other-non-metalic-minerals-production-reference
199,food-beverages-tobacco-production-reference_BEC3,0.01,0.01,10000000.0,food-beverages-tobacco,wy_2009,BEC3,food-beverages-tobacco-production-reference
200,ceramics-and-other-non-metalic-minerals-production-reference_BEC8,0.4,0.4,10000000.0,,wy_2009,BEC8,ceramics-and-other-non-metalic-minerals-production-reference
201,(H2)DRI-EAF_NLC5,0.8,0.8,0.8,steel,wy_2009,NLC5,(H2)DRI-EAF
202,EU-mix-2018_NLC5,0.11,0.11,0.11,cement,wy_2009,NLC5,EU-mix-2018
203,transport-equipment-production-reference_BEC5,0.02,0.02,10000000.0,transport-equipment,wy_2009,BEC5,transport-equipment-production-reference
204,printing-and-media-production-reference_NLC8,0.01,0.01,10000000.0,printing-and-media,wy_2009,NLC8,printing-and-media-production-reference
205,other-industrial-sectors_production-reference_BEC8,0.04,0.04,10000000.0,,wy_2009,BEC8,other-industrial-sectors_production-reference
