,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
86,oil-boiler-existing_NLC8,0.0,0.05,0.12,buildings heat,wy_2009,NLC8,Diesel Boiler
87,wind-on-existing_NLC1,1.33,0.0,0.0,electricity,wy_2009,NLC1,Onshore Wind
88,bio-boiler-existing_BEC2,1.52,0.0,0.0,buildings heat,wy_2009,BEC2,Biomass Boiler
89,wind-on-existing_BEC2,0.22,0.0,0.0,electricity,wy_2009,BEC2,Onshore Wind
90,CCGT-existing_NLC8,1.3,0.0,0.0,electricity,wy_2009,NLC8,Combined-cycle Gas Turbine
91,wind-on-existing_BEC8,0.27,0.0,0.0,electricity,wy_2009,BEC8,Onshore Wind
92,gas-boiler-existing_BEC1,0.5,0.13,1.32,buildings heat,wy_2009,BEC1,Gas Boiler
93,oil-boiler-existing_NLC2,0.0,0.03,0.06,buildings heat,wy_2009,NLC2,Diesel Boiler
94,bio-diges-up_NLC6,0.04,0.0,0.0,methane,wy_2009,NLC6,Bio-digestion and Upgrading
95,wind-on-existing_BEC7,0.23,0.0,0.0,electricity,wy_2009,BEC7,Onshore Wind
96,electric-heating-existing_NLC4,0.42,0.0,0.0,buildings heat,wy_2009,NLC4,Electric Heater
97,coal-boiler-existing_BEC6,0.0,0.01,0.02,buildings heat,wy_2009,BEC6,Coal Boiler
98,bio-boiler-existing_BEC4,0.3,0.0,0.0,buildings heat,wy_2009,BEC4,Biomass Boiler
99,oil-boiler-existing_BEC3,0.0,0.34,0.83,buildings heat,wy_2009,BEC3,Diesel Boiler
100,ground-heatpump-existing_NLC5,0.02,0.0,0.0,buildings heat,wy_2009,NLC5,Ground HP
101,gas-boiler-existing_NLC1,0.76,0.26,1.49,buildings heat,wy_2009,NLC1,Gas Boiler
102,oil-boiler-existing_BEC7,0.0,0.17,0.41,buildings heat,wy_2009,BEC7,Diesel Boiler
103,SCPC-existing_NLC7,0.44,0.0,0.0,electricity,wy_2009,NLC7,Coal Power Plant
104,oil-boiler-existing_NLC3,0.0,0.07,0.17,buildings heat,wy_2009,NLC3,Diesel Boiler
105,solar-PV-existing_BEC8,1.36,0.0,0.0,electricity,wy_2009,BEC8,Solar
106,ground-heatpump-existing_BEC4,0.0,0.0,0.0,buildings heat,wy_2009,BEC4,Ground HP
107,CCGT-existing_NLC6,0.87,0.0,0.0,electricity,wy_2009,NLC6,Combined-cycle Gas Turbine
108,bio-boiler-existing_NLC8,0.78,0.0,0.0,buildings heat,wy_2009,NLC8,Biomass Boiler
109,bio-diges-up_NLC7,0.04,0.0,0.0,methane,wy_2009,NLC7,Bio-digestion and Upgrading
110,bio-boiler-existing_BEC7,0.36,0.0,0.0,buildings heat,wy_2009,BEC7,Biomass Boiler
111,solar-PV-existing_BEC6,3.15,0.0,0.0,electricity,wy_2009,BEC6,Solar
