,source,target,y2030,y2040,y2050,polygon,technology,scenario
356,biomass,industry,0.0005474648221726429,0.0005474648221726429,0.0005474648221726429,NLC1,food-beverages-tobacco-production-reference_NLC1,wy_2009
357,methane,industry,0.08408652492820098,0.08408652492820098,0.08408652492820098,BEC1,(NG)PEA_BEC1,wy_2009
358,electricity,industry,0.003764607413243488,0.003764607413243488,0.003764607413243488,BEC5,other-non-ferrous-metals-production-reference_BEC5,wy_2009
359,methane,,0.0016584929462021896,0.0016584929462021896,0.0016584929462021896,NLC9,other-chemicals-production-reference_NLC9,wy_2009
360,methane,industry,0.001971033312737543,0.001971033312737543,0.001971033312737543,NLC8,paper-production-reference_NLC8,wy_2009
361,electricity,industry,0.010572798434442268,0.010572798434442268,0.010572798434442268,NLC5,(H2)DRI-EAF_NLC5,wy_2009
362,hydrocarbons,industry,0.00033601773160297853,0.00033601773160297853,0.00033601773160297853,BEC1,food-beverages-tobacco-production-reference_BEC1,wy_2009
363,electricity,industry,0.00041813583425536356,0.00041813583425536356,0.00041813583425536356,BEC5,paper-production-reference_BEC5,wy_2009
364,hydrocarbons,industry,0.0003672335279068948,0.0003672335279068948,0.0003672335279068948,BEC3,pharmaceuticals-production-reference_BEC3,wy_2009
365,methane,,0.0011229825639086921,0.0011229825639086921,0.0011229825639086921,NLC8,other-industrial-sectors_production-reference_NLC8,wy_2009
366,hydrocarbons,,0.0009195098345083405,0.0009195098345083405,0.0009195098345083405,NLC6,other-chemicals-production-reference_NLC6,wy_2009
367,biomass,industry,0.0,0.0,0.0019520972314168827,NLC6,CEM2-(BMW)MEA_NLC6,wy_2009
368,hydrocarbons,,0.0010163244880195474,0.0010163244880195474,0.0010163244880195474,NLC7,other-chemicals-production-reference_NLC7,wy_2009
369,methane,industry,0.005673538410842611,0.005673538410842611,0.005673538410842611,NLC6,food-beverages-tobacco-production-reference_NLC6,wy_2009
370,electricity,industry,0.001634316414644684,0.001634316414644684,0.001634316414644684,NLC7,aluminium-primary-production-reference_NLC7,wy_2009
371,methane,industry,0.0010207015376905697,0.0010207015376905697,0.0010207015376905697,NLC9,paper-production-reference_NLC9,wy_2009
372,electricity,transport,0.0007427367,0.0009299751,0.0011907192000000003,BEC8,elec_BEC8__rail_BEC8,wy_2009
373,electricity,transport,0.0004253091,0.0007591932,0.0008162424,NLC3,elec_NLC3__rail_NLC3,wy_2009
374,hydrocarbons,transport,0.0070996998,0.009648263100000002,0.014017281000000003,BEC6,HC_BEC6__int-aviation_BEC6,wy_2009
375,hydrocarbons,transport,0.0111534843,0.019393070999999998,0.023814018299999996,NLC8,HC_NLC8__int-aviation_NLC8,wy_2009
376,electricity,transport,0.0006260784,0.0007836951000000001,0.0010038465,BEC7,elec_BEC7__rail_BEC7,wy_2009
377,electricity,transport,0.0004904037000000001,0.0006140103000000001,0.0007858893,BEC3,elec_BEC3__rail_BEC3,wy_2009
378,electricity,transport,0.0018530019000000003,0.0023200008,0.0029705811000000004,BEC1,elec_BEC1__rail_BEC1,wy_2009
379,electricity,transport,0.0010224972,0.0012803157,0.0016394331,BEC4,elec_BEC4__rail_BEC4,wy_2009
380,electricity,transport,0.0005375789999999999,0.0009603282000000002,0.0010323711,NLC9,elec_NLC9__rail_NLC9,wy_2009
381,hydrocarbons,transport,0.149417706,0.2597980341000001,0.3190264404,NLC5,HC_NLC5__int-aviation_NLC5,wy_2009
382,electricity,transport,0.0020146413,0.0035973909,0.0038672775000000007,NLC5,elec_NLC5__rail_NLC5,wy_2009
383,electricity,transport,0.00029219430000000006,0.0005218539,0.0005613495,NLC2,elec_NLC2__rail_NLC2,wy_2009
384,hydrocarbons,transport,0.00027902909999999995,0.00034083240000000003,0.00047687280000000004,NLC4,HC_NLC4__thermal-rail_NLC4,wy_2009
